,SMILES,Value
157,CCCCC(CC)C=O,463.15
158,C=CC=O,507.0
159,C/C=C/C=O,505.0
160,c1ccccc1(C=O),465.0
161,C1(C)OC(C)OC(C)O1,508.15
162,CC(=O)C,738.15
163,CC(=O)CC,738.15
164,CCC(=O)CC,725.0
165,CC(C)CC(=O)C,721.15
166,CC(=O)CCC,718.15
167,CC(=O)C(C)C,748.15
168,CC(=O)CCCC,696.15
169,CC(=O)CCCCC,631.15
170,CC(=O)CCC(C)C,673.15
171,CC(C)=CC(=O)C,613.15
172,CC(C)CC(=O)CC(C)C,669.15
173,C1CCC(=O)N1(C),521.15
174,CC(=O)CC(=O)C,613.0
175,C1C(=O)C=C(C)CC1(C)(C),733.15
176,C1(=O)CCCCC1,692.15
177,c1ccccc1(C(=O)c1ccccc1),833.15
178,c1ccccc1(C(=O)C),843.15
179,C1(=O)OCCCCC1,611.0
180,C=C1CC(=O)O1,583.15
181,CO,737.0
182,CCO,696.0
183,CCCO,644.0
184,CC(O)C,728.75
185,CCCCO,616.0
186,OCC(C)C,681.15
187,CCC(O)C,663.15
188,CC(C)(O)C,751.0
189,CCCCCO,573.15
190,OCC(C)CC,658.0
191,OCC(C)(C)C,693.15
192,OCC(C)CCC,583.15
193,CCC(O)CC,708.0
194,OCC(CC)CCCC,543.15
195,OCCC(C)C,623.0
196,CCCCCCCCCCCCO,548.15
197,OC1CCCCC1,573.15
198,OC1(C)CCCCC1,568.15
199,C1[C@](O)([H])([C@](C)([H])(CCC1)),569.15
200,C1[C@](O)([H])([C@@](C)([H])(CCC1)),569.15
201,C1[C@](O)([H])(CC[C@](C)([H])(C1)),570.15
202,C1[C@](O)([H])(CC[C@@](C)([H])(C1)),570.15
203,OCC1OCCC1,553.15
204,C=CCO,651.0
205,c1(C)c(O)c(C)ccc1,872.0
206,c1ccccc1(O),868.15
207,c1(O)c(C)cccc1,872.0
208,c1(O)cc(C)ccc1,832.0
209,c1(O)ccc(C)cc1,832.0
210,c1(O)ccc(O)cc1,789.0
211,OCCO,673.15
212,OCCOCCO,636.15
213,OCCOCCOCCO,644.0
214,OCCOCCOCCOCCO,613.15
215,OC1C(C)(C)C(O)C1(C)C,575.15
216,OC(C)CO,693.15
217,OCCCO,673.15
218,CC(O)COCC(O)C,605.15
219,OCC(C)(C)CO,648.15
220,OCC(C)CO,653.15
221,OCC(O)CC,663.15
222,OCCC(O)C,648.15
223,CC(C)(O)CO,667.0
224,OCC(O)CO,643.15
225,c1(C(C)(C)(C))c(O)ccc(O)c1,730.15
226,CC(O)C(O)C,673.15
227,OCCCCO,643.15
228,OCCCCCO,603.15
229,OCCCCCCO,593.15
230,c1(O)cc(O)ccc1,878.15
231,C(=O)O,753.0
232,CC(=O)O,700.0
233,CCC(=O)O,748.0
234,CCCCC(=O)O,673.0
235,CCCCCCCCC(=O)O,589.0
236,CC(C)C(=O)O,693.15
237,CC(C)CC(=O)O,689.15
238,CCCCCC(=O)O,653.0
239,C1(C(=O)O)CCC(C(=O)O)CC1,689.15
240,C/C=C/C(=O)O,669.0
241,C=CC(=O)O,685.15
242,C=C(C)C(=O)O,708.15
243,CCCCCCCC/C=C\CCCCCCCC(=O)O,636.0
244,c1ccccc1(C(=O)O),847.039
245,c1(O)ccccc1(C(=O)O),818.15
246,c1(C(=O)O)ccc(C(=O)O)cc1,769.15
247,CC(=O)OC(=O)C,603.15
248,CCC(=O)OC(=O)CC,555.15
249,CCCC(=O)OC(=O)CCC,582.15
250,c1cc2C(=O)OC(=O)c2cc1,857.0
251,O1C(=O)C=CC1(=O),750.0
252,COC(=O),729.0
253,CCOC(=O),728.15
254,CCCOC(=O),728.15
255,CCCCOC(=O),595.0
256,C(=O)OCC(C)C,593.15
257,CC(=O)OC,748.15
258,CC(=O)OCC,700.0
259,CC(=O)OCCC,723.0
260,CC(=O)OCCCC,694.0
261,CC(=O)OCC(C)C,696.0
262,CC(=O)OCCC(C)C,633.15
263,CC(=O)OCC=C,647.039
264,CC(=O)OC(C)C,733.15
265,CC(=O)OC(C)CC,683.15
266,CC(=O)OC=C,700.0
267,CCC(=O)OC,742.0
268,CCC(=O)OCC,713.15
269,CCC(=O)OCCCC,699.816
270,CCCC(=O)OCC,736.0
271,C=CC(=O)OC,741.15
272,C=CC(=O)OCC,656.0
273,CCCCOC(=O)C=C,548.15
274,C=C(C)C(=O)OC,703.15
275,c1cc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)cc1,664.15
276,CC(=O)OCCCCC,633.15
277,CC(=O)OCc1ccccc1,733.15
278,CC(C)COC(=O)C(C)C,705.15
279,c1ccccc1(C(=O)OCc2ccccc2),753.15
280,CCCCOC(=O)c1ccccc1,713.15
281,c1c(C(=O)OCCCCCCCC(C)C)c(C(=O)OCCCCCCCC(C)C)ccc1,675.0
282,c1cc(C(=O)OC)c(O)cc1,728.0
