,SMILES,Value
133,CC/C=C\CC,-3733000000.0
134,CC/C=C/CC,-3726020000.0
135,C=C(C)CCC,-3722000000.0
136,C=CC(C)CC,-3734000000.0
137,C=CCC(C)C,-3732000000.0
138,CC(C)=CCC,-3713470000.0
139,C/C=C(C)\CC,-3718000000.0
140,C=CCC(C)CC,-4350000000.0
141,C/C=C\C(C)C,-3725020000.0
142,C/C=C/C(C)C,-3720500000.0
143,C=C(CC)CC,-3724930000.0
144,C=C(C)C(C)C,-3717860000.0
145,C=CC(C)(C)C,-3725000000.0
146,CC(C)=C(C)C,-3709800000.0
147,C=C(CC)CCC,-4337000000.0
148,C=CCCCCC,-4349900000.0
149,C/C=C\CCCC,-4342000000.0
150,C/C=C/CCCC,-4340000000.0
151,CC/C=C/CCC,-4340000000.0
152,C=C(C)CCCC,-4335000000.0
153,C=CC(CC)CC,-4349000000.0
154,C=CC(C)CCC,-4346000000.0
155,C=CC1CCCCC1,-4752100000.0
156,CCC1=CCCCC1,-4734070000.0
157,C=C(C)C(C)(C)C,-4329900000.0
158,CC/C=C\CCC,-4343320000.0
159,CC1CCCCC=1,-4124300000.0
160,C=C(C)CC(C)(C)C,-4937300000.0
161,CC(C)=CC(C)(C)C,-4940500000.0
162,C=CCCCCCCCC,-6180900000.0
163,C=CCCCCCCCCC,-6787800000.0
164,C=CCCCCCCCCCCCCCC,-9836700000.0
165,C1=CCCC1,-2939300000.0
166,C1=CCCCC1,-3532000000.0
167,C/C=C\CCCCC,-4947000000.0
168,C1=CCC(C=C)CC1,-4626000000.0
169,C1(C)=CCCC1,-3534000000.0
170,C1=CC(C)CC1,-3546400000.0
171,C1=CCC(C)C1,-3552800000.0
172,C1=[C@](C)(CCC([C@](=C)(C))C1),-5815400000.0
173,C=C=C,-1856300000.0
174,C=C=CC,-2461700000.0
175,C=CC=C,-2409000000.0
176,C=C=CCC,-3046700000.0
177,C=C/C=C\C,-2989090000.0
178,C=C/C=C/C,-2982690000.0
179,C=CCC=C,-3015660000.0
180,CC=C=CC,-3038000000.0
181,C=C(C)C=C,-2984240000.0
182,C=C=C(C)C,-3032000000.0
183,C/C=C/C=C\C,-3488000000.0
184,C1=CCCC=CCCC=CCC1,-6928800000.0
185,CC(C)=CC=C(C)C,-4777800000.0
186,C1=CC=CCC1,-3399910000.0
187,C=C(C)/C=C/C,-3610000000.0
188,C1=CC=CC=CC=C1,-4370000000.0
189,C#C,-1257000000.0
190,CC#C,-1848700000.0
191,CCC#C,-2464700000.0
192,CC#CC,-2418900000.0
193,C#CCCC,-3051000000.0
194,C(C#C)(C)(C)C,-3648620000.0
195,CC#CCC,-3029100000.0
196,C#CCCCC,-3661000000.0
197,C#CCCCCCC,-4881450000.0
198,C#CC(C)C,-3046000000.0
199,C#CCCCCCCC,-5493000000.0
200,C#CCCCCCCCC,-6103700000.0
201,c1ccccc1,-3136000000.0
202,c1ccccc1(C),-3734000000.0
203,c1ccccc1(CC),-4344010000.0
204,c1(C)ccccc1(C),-4333000000.0
205,c1(C)cc(C)ccc1,-4331800000.0
206,c1(C)ccc(C)cc1,-4333000000.0
207,c1(CCC)ccccc1,-4954150000.0
208,c1(C(C)C)ccccc1,-4951000000.0
209,c1(CC)c(C)cccc1,-4946100000.0
210,c1(CC)cc(C)ccc1,-4943800000.0
211,c1(CC)ccc(C)cc1,-4942700000.0
212,c1(C)c(C)c(C)ccc1,-4934000000.0
213,c1(C)c(C)cc(C)cc1,-4930700000.0
214,c1(C)cc(C)cc(C)c1,-4929100000.0
215,c1(CCCC)ccccc1,-5564400000.0
216,c1(CC(C)C)ccccc1,-5558000000.0
217,c1(C(C)CC)ccccc1,-5561400000.0
218,c1(C(C)(C)C)ccccc1,-5557100000.0
219,c1(C(C)C)c(C)cccc1,-5554800000.0
220,c1(C(C)C)cc(C)ccc1,-5549500000.0
221,c1(C(C)C)ccc(C)cc1,-5549800000.0
222,c1(CC)c(CC)cccc1,-5559300000.0
223,c1(CC)cc(CC)ccc1,-5554300000.0
224,c1(CC)ccc(CC)cc1,-5555300000.0
225,c1(C)c(C)c(C)c(C)cc1,-5537600000.0
226,c1(C)c(C)c(C)cc(C)c1,-5532000000.0
227,c1(C)c(C)cc(C)c(C)c1,-5506400000.0
228,c1(C(C)(C)C)cc(C(C)(C)C)cc(C(C)(C)C)c1,-10390000000.0
229,c1(C(C)C)cc(C(C)C)cc(C(C)C)c1,-8580000000.0
230,c1(C)c(C)c(C)c(C)c(C)c1,-6074900000.0
231,c1(C(C)C)c(C(C)C)cc(C(C)C)c(C(C)C)c1,-10413000000.0
232,c1(C(C)C)cc(C(C)C)ccc1,-6766860000.0
233,c1(C(C)C)ccc(C(C)C)cc1,-6766600000.0
234,c1(C)c(C)c(C)c(C)c(C)c1(C),-6737400000.0
235,c1(CCCCCCC)ccccc1,-7393000000.0
236,c1(CCCCCCCCCC)ccccc1,-9222300000.0
237,c1(CC)c(CC)c(CC)c(CC)c(CC)c1(CC),-10369500000.0
238,c1ccccc1(C2CCCCC2),-6580090000.0
239,c1ccccc1(c2ccccc2),-6248000000.0
240,c1ccccc1C(C)c2ccccc2,-7250000000.0
241,c1ccccc1Cc2ccccc2,-6663600000.0
242,c1ccccc1CCc2ccccc2,-7250000000.0
243,c1ccccc1C(c3ccccc3)c2ccccc2,-9582800000.0
244,c1ccccc1(CCCCC),-6174000000.0
245,c1ccccc1(CCCCCCCCCCCCC),-11051300000.0
246,c1(CC)cc(C)cc(C)c1,-5540000000.0
247,c1(C)c(CC)c(C)ccc1,-5548000000.0
248,c1(C)c(CC)cc(C)cc1,-5543000000.0
249,c1(CC)c(C)cc(C)cc1,-5544000000.0
