,SMILES,Value
178,C=CC(=O)OCC(CC)CCCC,8.199999999999998
179,CC(=O)OCCOC(C)=O,8.4
180,C=C(C)C(=O)OCCCC,8.0
181,CCOC(=O)OCC,11.7
182,COC(=O)C1CCC(C(=O)OC)CC1,5.6
183,COC,26.2
184,CCOCC,46.0
185,CC(C)OC(C)C,7.9
186,CCCCOCCCC,8.5
187,COC(C)(C)C,8.4
188,COCC,10.1
189,COCCC,14.8
190,C=COC=C,27.0
191,CCOCCC,9.0
192,C1OCCOC1,22.0
193,C1OCOCO1,29.0
194,COC(C)(C)CC,7.1
195,CCOC(C)(C)C,6.75
196,COCOC,18.5
197,CCOC(C)OCC,10.4
198,CC1(C)CO1,13.5
199,C1OC1,100.0
200,CC1OC1,35.5
201,C1CCO1,37.0
202,CCOC=C,19.0
203,COCCOC,10.4
204,c1ccccc1(Oc1ccccc1),6.0
205,C=COC,39.0
206,CCC1CO1,18.3
207,c1ccccc1(C(C)(C)OO),6.5
208,C1=COC=C1,23.0
209,C1COCC1,11.8
210,C[Cl],17.2
211,CC[Cl],15.4
212,C=CCl,33.0
213,ClC/C=C/CCl,4.0
214,C[Hg]Cl,15.5
215,ClCCl,22.0
216,CC(Cl)Cl,11.4
217,ClCCCl,16.0
218,C(Cl)(Cl)CCl,14.6
219,C(Cl)C(Cl)C,14.5
220,C(Cl)(Cl)(Cl)C,12.5
221,C(Cl)(C)C,10.7
222,C#CCCl,100.0
223,CC(C)CCl,8.8
224,C(Cl)=C(Cl)Cl,29.0
225,C=CC(Cl),11.9
226,c1(Cl)ccccc1(Cl),9.2
227,c1(C)ccccc1(Cl),8.3
228,c1cc(C)ccc1(Cl),8.3
229,Cl/C=C\Cl,15.5
230,Cl/C=C/Cl,15.3
231,C=C(Cl)C=C,20.0
232,CCCCl,11.1
233,CCCCCl,10.1
234,CCCCCCl,8.599999999999998
235,C=C(Cl)Cl,15.5
236,c1(Cl)c(Cl)cc(Cl)cc1,6.6
237,CC(Cl)=C,16.0
238,C=CC(Cl)CCl,12.2
239,ClCF,26.5
240,FC(F)(F)C(F)(F)OC,13.5
241,CF,19.9
242,FCF,29.3
243,CCF,17.5
244,FC(F)(F)C,17.0
245,FC(F)=C,21.5
246,FC(F)=C(F)F,50.0
247,FC(F)C,17.5
248,CBr,16.0
249,CCBr,8.0
250,CCCBr,9.1
251,CCCCBr,6.6
252,CN,20.7
253,CNC,14.4
254,CN(C)C,11.6
255,CCN,14.0
256,CCN(CC)CC,8.0
257,CCCNCCC,11.4
258,CCNCC,10.1
259,CC(C)CN,10.8
260,NN,100.0
261,CC(C)CNCC(C)C,9.1
262,CC(C)N,10.4
263,C1=CC=CN1,12.0
264,NCCO,13.1
265,CC(C)(C)N,8.9
266,C1(N)CCCCC1,8.699999999999998
267,NCCCCCCN,6.3
268,C=CCN,24.3
269,NCCN,14.4
270,C1CN1,46.0
271,CC(C)NC(C)C,8.5
272,CCCCNCCCC,9.62
273,c1(cccn2)c2cccc1,7.0
274,CC(N)CN,11.1
275,C[N+](=O)[O-],63.0
276,CC([N+](=O)[O-])C,11.0
277,N#CCCO,12.1
278,C1NCCOC1,15.2
279,C1CCCN1,10.6
280,C#N,40.0
281,CC#N,17.0
282,CCC#N,14.0
283,C=CC#N,17.0
284,C=C(C)C#N,11.0
285,N#CCCCCC#N,5.0
286,CCCCCC#N,7.5
287,CC(C)C#N,12.7
288,C/C=C/C#N,8.8
289,c1(C#N)ccccc1,12.0
290,n1ccccc1,12.0
291,c1(N)ccccc1,11.0
292,C1=CC(=C(C=C1N=C=O)N=C=O)C,9.5
293,C1CCCCCN1,9.6
294,c1(N(C)C)ccccc1,7.0
295,n1c(C)cccc1,8.599999999999998
296,C/C=C\C#N,8.8
297,N#CC#N,32.0
298,CS,21.8
299,CCS,18.0
