,SMILES,Value
179,c1(O)cc(O)ccc1,1.4
180,C(=O)O,12.0
181,CC(=O)O,4.0
182,CCC(=O)O,2.9
183,CCCC(=O)O,2.0
184,CCCCC(=O)O,1.6
185,CC(C)C(=O)O,2.0
186,CC(C)CC(=O)O,1.4
187,C/C=C/C(=O)O,2.2
188,C=CC(=O)O,2.4
189,C=C(C)C(=O)O,1.6
190,OC(=O)CCCCC(=O)O,1.6
191,CC(=O)OC(=O)C,2.7
192,CCCC(=O)OC(=O)CCC,1.09
193,c1cc2C(=O)OC(=O)c2cc1,1.2
194,COC(=O),5.2
195,CCOC(=O),2.76
196,CCCOC(=O),2.3
197,CCCCOC(=O),1.7
198,C(=O)OCC(C)C,1.7
199,CCCCCCCCOC=O,0.8299999999999998
200,CC(=O)OC,3.13
201,CC(=O)OCCC,1.8
202,CC(=O)OCCCC,1.4
203,CC(=O)OCC(C)C,1.42
204,CC(=O)OCCC(C)C,1.1
205,CC(=O)OCC=C,1.7
206,CC(=O)OC=C,2.6
207,CCC(=O)OC,2.4
208,CCC(=O)OCC,1.8
209,C=CC(=O)OC,2.18
210,C=CC(=O)OCC,1.6
211,CCCCOC(=O)C=C,1.2
212,C=C(C)C(=O)OC,1.7
213,CCOC(=O)C(C)=C,1.8
214,c1cc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)cc1,0.2999999999999999
215,c1cc(C(=O)OCCCCCC(C)C)c(C(=O)OCCCCCC(C)C)cc1,0.26
216,CC(=O)OCCCCC,1.1
217,CC(=O)OCC(CC)CCCC,0.76
218,CC(C)COC(=O)C(C)C,0.96
219,CCCCCCOC(=O)C,0.9
220,c1ccccc1(C(=O)OCc2ccccc2),0.69
221,C1OC(=O)OC1,3.6
222,CC(=O)OCCCCCCCCCC,0.64
223,c1c(C(=O)OCCCCCCCC(C)C)c(C(=O)OCCCCCCCC(C)C)ccc1,0.27
224,c1c(C(=O)OCC(C)C)c(C(=O)OCC(C)C)ccc1,0.53
225,C=CC(=O)OCC(CC)CCCC,0.6999999999999998
226,CC(=O)OCCOC(C)=O,1.6
227,c1c(C(=O)OC)cccc1,1.09
228,c1c(C(=O)OCC)cccc1,1.0
229,CCOC(=O)OCC,1.4
230,COC(=O)C1CCC(C(=O)OC)CC1,0.77
231,COC,3.3
232,CCOCC,1.7
233,CC(C)OC(C)C,1.0
234,CCCCOCCCC,0.9
235,COC(C)(C)C,1.23
236,COCC,2.0
237,C=COC=C,1.7
238,CCOCCC,1.7
