,SMILES,Value
154,c1(CC)c(CC)cc(CC)cc1,356.15
155,c1(CCCCCCC)ccccc1,370.65
156,c1ccccc1(C2CCCCC2),372.15
157,c1ccccc1(c2ccc(c3ccccc3)cc2),480.0
158,c1ccccc1(c2cc(c3ccccc3)ccc2),464.0
159,c1ccccc1(c2c(c3ccccc3)cccc2),436.0
160,c1ccccc1CCc2ccccc2,398.15
161,c1ccccc1(CCCCC),339.15
162,c1ccccc1(CCCCCC),356.15
163,c1ccccc1(CCCCCCCC),380.15
164,C=C(c1ccccc1)CC,325.15
165,C=Cc1ccccc1,305.15
166,C=Cc1c(C)cccc1,320.15
167,C=Cc1cc(C)ccc1,324.15
168,C1(CCC=CC)=CC=CC=C1C,361.0
169,CCC1=C(C=C)C=CC=C1,333.15
170,CCC1=CC(C=C)=CC=C1,335.65
171,C=Cc1ccc(C)cc1,320.65
172,c1(C(C)=C)ccccc1,316.0
173,c1(C=C)cc(C=C)ccc1,340.15
174,c1(C#C)ccccc1,304.15
175,c1ccccc1/C=C\C,320.65
176,c1ccccc1/C=C/C,325.15
177,Cc1ccc(C(C)(C)C)cc1,328.15
178,Cc1cc(C)cc(C(C)(C)C)c1,341.15
179,c1cccc2ccccc21,353.15
180,c1(C)cccc2ccccc21,367.15
181,c1c(C)ccc2ccccc21,370.15
182,c1(CC)cccc2ccccc21,384.15
183,C1CCCc2ccccc21,344.0
184,c1cccc2c1(cc(CC)cc2),377.15
185,c1(CC=C2)c2cccc1,331.15
186,C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2,444.0
187,C1=CC2=C3C(=C1)C=CC1=CC=CC(=C31)C=C2,472.0
188,C1C2CC3CC1CC(C2)C3,359.6
189,C1(CC2C=CC1C2)C=C,295.15
190,C1C2CC3(CC1CC(C2)(C3)C)C,325.15
191,C1=CC2=C(C=C1)CCC2,321.65
192,CC(C)C1=CC=C(CC1)C,319.15
193,CC(C)C1=CCC(=CC1)C,325.65
194,C1CC2C=CC1C2,258.15
195,C1C(C2C=CC1C2)=CC,298.15
196,CCC(C1CCCCC1)C,323.65
197,C1CC2CCC1CC2,313.15
198,C1(C)(C)C(=C)C(C2)CCC12,307.15
199,C1C(C2(C)(C))CC2C(C)=C1,305.0
200,C1C(=C)C(C2)C(C)(C)C2C1,310.65
201,CC=O,232.0
202,CCC=O,243.15
203,O=CC1CCC=CC1,320.15
204,CCCC=O,262.15
205,CCCCC=O,285.15
206,CCCCCCC=O,308.15
207,CCCCCC=O,300.0
208,CCCCCCCC=O,324.15
209,CCCCCCCCC=O,336.15
210,CCCCC(CC)C=O,317.59
211,O=CC(C)=CCC,304.15
212,CCCC=C(CC)C=O,329.65
213,CCCCCCCCCC=O,358.15
214,CCCCCCCCCCC=O,369.15
215,CCCCCCCCCCCC=O,374.15
216,CCC(C)C=O,269.15
217,CC(C)CC(=O),270.15
218,C=CC=O,247.15
219,C/C=C/C=O,286.15
220,C=C(C)C=O,258.15
221,c1ccccc1(C(C)C=O),342.0
222,c1(C)ccccc1(C=O),340.15
223,c1ccccc1(C=O),337.0
224,c1(O)ccccc1(C=O),349.15
225,c1c(C)cccc1(C=O),351.15
226,C1(C)OC(C)OC(C)O1,299.15
227,CC(=O)C,255.15
228,CC(=O)CC,267.15
229,CCC(=O)CC,280.15
230,CC(C)CC(=O)C,286.15
231,CC(=O)C(C)CC,285.15
232,C=CCCC(=O)C,296.15
233,CCC(=O)CCCC,310.15
234,CCCC(=O)CCC,307.15
235,CC(=O)CCC,280.15
236,CC(=O)C(C)C,272.15
237,CC(=O)CCCC,296.15
238,CC(=O)CCCCC,312.15
239,CC(=O)CCC(C)C,314.15
240,CC(C)=CC(=O)C,301.0
241,CC(=O)C(C)(C)C,282.15
242,CC(C)CC(=O)CC(C)C,322.15
243,CC(C)C(=O)C(C)C,288.15
244,C1CCC(=O)N1,411.15
245,C1CCC(=O)N1(C),359.15
246,CCCCC(=O)CCCC,338.15
247,CC(=O)CCCCCCC,345.5
248,c1ccc2C(=O)c3ccccc3C(=O)c2c1,469.5
249,C1(=O)CCCC1,299.0
250,C1(=O)CCCCC1,316.15
251,CC(=O)CCCCCC,329.15
252,c1ccccc1(C(=O)C),350.15
253,C1COC1(=O),343.15
254,C1CCC(=O)O1,367.15
255,C1(=O)OCCCCC1,382.15
256,C1C(C)OC(=O)C1,369.26
257,CCC(=O)C(C)C,286.15
258,CC(=O)C(=C)C,278.15
259,C=C1CC(=O)O1,306.15
260,CO,284.15
261,CCO,286.15
262,CCCO,297.59
263,CC(O)C,285.15
264,CCCCO,310.5
265,OCC(C)C,302.32
266,CCC(O)C,296.15
267,CC(C)(O)C,284.26
268,CCCCCO,322.15
269,CCCC(O)C,307.15
270,CC(C)(O)CC,292.15
271,OCC(C)CC,316.15
272,OCC(C)(C)C,303.15
273,CCCCCCO,333.15
274,CC(O)CCCC,318.15
275,CCC(O)CCC,314.15
276,OCC(C)CCC,323.15
277,CCC(C)CCO,331.15
278,CCC(C)(O)CC,297.15
279,CCC(O)CC,303.15
280,OCC(CC)CCCC,346.0
281,OCC(C)CCCC,333.65
282,OCCC(C)C,316.0
283,CC(O)C(C)C,299.15
284,CC(O)CCCCC,332.15
285,CCC(O)CCCC,327.15
286,OCCCCC(C)C,338.15
287,CC(O)CC(C)C,314.0
288,CCCCCCCCO,359.7
289,CCCCCCC(O)C,344.15
290,CCCCCCCCCO,369.15
291,CCCCCCCC(O)C,355.15
292,CCCCCCCCCCO,377.15
293,CCCCCCCCCCCO,386.15
294,CC(C)CCCCCCCO,370.65
295,CCCCCCCCCCCCO,400.0
296,CCCCCCCCCCCCCCO,421.15
297,CCCCCCCCCCCCCCCCO,443.0
298,CCCCCCCCCCCCCCCCCCO,458.15
299,OCC(CC)CC,326.15
300,OC1CCCCC1,334.15
301,C1[C@](O)([H])([C@](C)([H])(CCC1)),331.15
302,C1[C@](O)([H])([C@@](C)([H])(CCC1)),331.15
303,C1[C@](O)([H])(CC[C@](C)([H])(C1)),343.15
304,C1[C@H](C(C)C)([C@](O)([H])(C[C@](C)([H])(C1))),366.15
305,OCC1OCCC1,343.15
306,C=CCO,294.0
307,c1ccccc1(C(C)(C)O),360.15
308,CCCCCCC(CCCC)CO,382.15
309,c1c(O)c(C)c(C)cc1,368.15
310,c1c(O)c(C)cc(C)c1,368.15
311,C1(C)CCC(C[OH])CC1,354.0
312,c1c(O)c(C)ccc1(C),368.15
313,c1(C)c(O)c(C)ccc1,358.15
314,c1ccccc1(O),354.45
315,c1(O)c(C)cccc1,354.0
316,c1(O)cc(C)ccc1,359.15
317,c1(O)ccc(C)cc1,359.15
318,c1(O)c(CC)cccc1,358.15
319,c1(O)ccc(O)cc1,438.0
320,c1(O)ccc(CC)cc1,373.15
321,c1(O)ccc(C(C)(C)C)cc1,386.0
322,OCCO,384.15
323,OCCOCCO,413.15
324,OCCOCCOCCO,438.15
325,OCCOCCOCCOCCO,469.0
326,OC1C(C)(C)C(O)C1(C)C,392.15
327,OC(C)CO,372.0
328,CC(O)COCC(O)C,391.0
329,OCC(C)(C)CO,380.15
330,CC(O)COC(C)COCC(O)C,413.15
331,OCC(CCCC)(CC)CO,412.15
332,OCC(C)CO,393.5
333,CC(O)(C)CC(O)C,366.0
334,OC(CO)COC(C)(C)C,387.15
335,OCC(O)CO,464.15
336,c1(C(C)(C)(C))c(O)ccc(O)c1,444.15
337,c1cc(C(C)(C)C)cc(O)c1(O),425.0
338,OCC(C)(C)C(O)C(C)C,382.65
339,CCC(O)C(C)CO,383.15
340,CC(O)C(O)C,369.15
341,OC/C=C\CO,401.15
342,OC/C=C/CO,401.15
343,OCCCCO,407.15
344,c1(O)c(O)cccc1,400.15
345,c1(O)cc(O)ccc1,444.0
346,OCC(C(O))(C(O))CO,533.15
347,C(=O)O,323.15
348,CC(=O)O,312.04
349,CCC(=O)O,330.0
350,CCCCCCCCCC(=O)O,421.15
351,CCCC(=O)O,345.15
352,CCCCC(=O)O,359.15
353,CC(C)C(=O)O,333.15
354,CC(C)CC(=O)O,351.15
355,CCCCCC(=O)O,375.15
356,CCCCC(C)C(=O)O,370.65
357,C1(C(=O)O)CCC(C(=O)O)CC1,508.15
358,CCCCCCCC(=O)O,400.15
359,C1CCCC1(CC(=O)O),382.15
360,CCCCCCCCCCCC(=O)O,437.0
361,C/C=C\C(=O)O,353.15
362,C/C=C/C(=O)O,363.15
363,CCCCCCCCCCCCCCCCCC(=O)O,469.0
364,C=CC(=O)O,324.0
365,C=C(C)C(=O)O,341.15
366,CCCCCCCC/C=C\CCCCCCCC(=O)O,462.0
367,c1ccccc1(C(=O)O),394.26
368,c1(O)ccccc1(C(=O)O),430.0
369,c1(C(=O)O)c(C(=O)O)cccc1,441.15
370,c1(C(=O)O)ccc(C(=O)O)cc1,533.15
371,OOC(=O)C,313.15
372,CC(=O)OC(=O)C,325.928
373,CCC(=O)OC(=O)CC,336.15
374,CCCC(=O)OC(=O)CCC,356.15
375,C1(=O)OC(=O)CC1,425.0
376,C1(=O)OC(=O)CCC1,446.15
377,c1cc2C(=O)OC(=O)c2cc1,425.0
378,O1C(=O)C=CC1(=O),375.15
379,c1c(C(=O)O)cc2C(=O)OC(=O)c2c1,522.5
380,CCCOC(=O),270.15
381,CCCCOC(=O),286.15
382,C(=O)OCC(C)C,283.15
383,CCCCCCCCOC=O,349.5
384,CC(=O)OC,257.76
385,CC(=O)OCC,269.0
386,CC(=O)OCCC,283.706
387,CC(=O)OCCCC,298.15
388,CC(=O)OCC(C)C,291.0
389,CC(=O)OCCC(C)C,306.15
390,CC(=O)OCC=C,286.15
391,CC(=O)OC(C)CC,289.0
392,CCC(=O)OC,271.0
393,CCC(=O)OCC,285.0
394,CCC(=O)OCCC,294.15
395,CCC(=O)OCCCC,313.15
396,CCCOC(=O)CCC,310.15
397,CCCC(=O)OC,287.0
398,CCCC(=O)OCC,297.15
399,C=CC(=O)OC,270.0
400,C=CC(=O)OCC,280.93
401,CCCCOC(=O)C=C,312.594
402,CC(C)CC(=O)OCC,299.15
403,C=C(C)C(=O)OC,283.15
404,CCCOC(=O)C(C)=C,306.15
